Short name,Description,Maintainer,Long name,Version,Category,Layer,Scope,MIMs,Docs,Git,D3.7?,Rationale (D3.7),D2.8?,Rationale (2.8),KH?,Rationale (KH),Index
AI Fairness 360,Helps ensure that AI models used in LDTs behave fairly and transparently across populations.,The Linux Foundation,AI Fairness 360,v0.6.1,Framework,Knowledge,AI for Smart Cities,MIM5,https://aif360.readthedocs.io/en/stable/,https://github.com/Trusted-AI/AIF360,N,Not WS1 relevant (WS3),Y,,N,,82
Alibi Explain,"Provides explainability for ML models, enabling interpretable AI components inside LDT services.",SeldonIO,Alibi Explain: Algorithms for Explaining ML Models,N/A,Framework,Knowledge,AI for Smart Cities,MIM5,https://docs.seldon.ai/alibi-explain/,https://github.com/SeldonIO/alibi,N,Not WS1 relevant (WS3),Y,,N,,81
Babylon.js,Enables rich 3D visualisations for rendering interactive city or asset twins in the browser.,BabylonJS,Babylon.js,v8.0,Tool / implementation,Visualisation,Local Digital Twins (LDTs),MIM1,https://doc.babylonjs.com/features/introductionToFeatures,https://github.com/BabylonJS/Babylon.js,N,,Y,,N,,21
BIM,Provides structured building-information data that can be integrated into a city’s LDT for asset-level modelling.,N/A,Building Information Modelling,N/A,Framework,Data sources,Local Digital Twins (LDTs),"MIM8, MIM7",https://en.wikipedia.org/wiki/Building_information_modeling,,N,"Concept, not resource",Y,,Y,,1
CAMSS,"Helps pilots select interoperable, standards-based components through European Commission assessment criteria.",Interoperable Europe,Common Assessment Method for Standards and Specifications,N/A,Framework,Interoperability,Interoperability,"MIM0, MIM1, MIM2, MIM3, MIM6, MIM7",https://interoperable-europe.ec.europa.eu/collection/common-assessment-method-standards-and-specifications-camss,https://interoperable-europe.ec.europa.eu/collection/common-assessment-method-standards-and-specifications-camss/camss-solutions,Y,,Y,,Y,,69
CARLA,Provides realistic mobility simulation to test autonomous or transport scenarios within an LDT.,"CARLA team (Computer Vision Center, UAB)",CARLA Unreal Engine 4,Multiple branches (UE4 / UE5),Tool / implementation,Knowledge,AI for Smart Cities,"MIM3, MIM8",https://carla.readthedocs.io/en/latest/,https://github.com/carla-simulator/carla,N,Not WS1 relevant (WS3),Y,,N,,76
CIM,"Standardises city information models, helping pilots structure data for semantic interoperability across twins.",,City Information Modelling,,Framework,Interoperability,Local Digital Twins (LDTs),"MIM3, MIM7, MIM1",,,N,"Concept, not resource",Y,,Y,,2
CityJSON,Lightweight format for 3D city models enabling large-scale spatial data exchange between LDT components.,CityJSON developers (TU Delft & community),CityJSON (JSON encoding of CityGML),v2.0.1,Standard,Data sources,Local Digital Twins (LDTs),"MIM3, MIM8, MIM7",https://www.cityjson.org/,https://github.com/cityjson/specs,N,,Y,,Y,,3
Community Solid Server,Enables decentralised storage and controlled access to personal or device data within LDT ecosystems.,Solid Project,Community Solid Server,v8.0,Tool / implementation,Data sources,,"MIM3, MIM4, MIM8, MIM1, MIM0",https://www.npmjs.com/package/@solid/community-server,https://github.com/CommunitySolidServer/CommunitySolidServer,N,,N,,,,90
Comunica,Executes federated RDF/SPARQL queries across distributed data sources for cross-LDT data federation.,IDLab (Ghent University – imec) & community,Comunica Modular SPARQL/Linked Data query engine,v4.5.0,Tool / implementation,Data acquisition,,"MIM1, MIM8, MIM3, MIM0",https://comunica.dev/docs/,https://github.com/comunica/comunica,Y,,N,,Y,,88
D3.js,Enables custom interactive visualisations for insights derived from LDT data.,Observable Platform,D3.js,v7.9.0,Tool / implementation,Visualisation,Local Digital Twins (LDTs),"MIM8, MIM7",https://d3js.org/,https://github.com/d3/d3,N,,Y,,N,,22
DCAT,Standard vocabulary for describing datasets so LDT data can be catalogued and discovered.,W3C,Data Catalog Vocabulary,v3.0,Standard,Interoperability,Data spaces,"MIM1, MIM0, MIM3",https://www.w3.org/TR/vocab-dcat-3/,,N,,Y,,Y,,6
DCAT-AP,EU metadata profile ensuring LDT datasets can be published into interoperable data catalogs.,SEMIC,DCAT Application Profile for data portals in Europe,v3.0.0,Standard,Interoperability,Data spaces,"MIM0, MIM3, MIM1",https://interoperable-europe.ec.europa.eu/collection/semic-support-centre/solution/dcat-application-profile-data-portals-europe/release/300,https://github.com/SEMICeu/DCAT-AP,N,,Y,,Y,,7
DCP,Provides trusted data exchange mechanisms for interoperable interaction between LDTs in data spaces.,Eclipse,Decentralized Claims Protocol,v1.0.1,Protocol,Interoperability,Data spaces,"MIM3, MIM4",https://eclipse-dataspace-dcp.github.io/decentralized-claims-protocol/v1.0.1/,https://github.com/eclipse-dataspace-dcp/decentralized-claims-protocol/,N,,Y,,Y,,43
Decidim,Enables participatory processes so LDT insights can support public consultation and decision-making.,Associació de Software Lliure Decidim,Decidim,v0.31.0,Tool / implementation,Services,Local Digital Twins (LDTs),MIM8,https://docs.decidim.org/en/develop/index.html,https://github.com/decidim/decidim,N,,Y,,N,,27
deck.gl,High-performance geospatial visualisation for LDT dashboards handling large-scale spatial datasets.,vis.gl,deck.gl (WebGL-based visualization framework),v9.2.2,Tool / implementation,Visualisation,Local Digital Twins (LDTs),"MIM7, MIM8",https://deck.gl/#/,https://github.com/visgl/deck.gl,N,,Y,,N,,24
